Budget,IMD_Rating,No_of_reviewers,censor_board_rating,cumm_gross,genre1,genre2,genre3,genre4,gross_USA,keywords_list,movie_name,production_company,release_date,run_time,star1,star2,star3,star4,star5,summary,writer1,writer2,writer3,year
25000000,9.3,2063516,R,58500000,Drama,,,,28341469,"wrongful imprisonment,escape from prison,based on the works of stephen king,prison",The Shawshank Redemption, Castle Rock Entertainment See more »      ,"14 October 1994 (USA)
",2h22min,Tim Robbins,Morgan Freeman,Bob Gunton,,,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Stephen King,Frank Darabont,,1994
6000000,9.2,1415683,R,245066411,Crime,Drama,,,134966411,"mafia,crime family,patriarch,organized crime",The Godfather," Paramount Pictures, Alfran Productions See more »      ","24 March 1972 (USA)
",2h55min,Marlon Brando,Al Pacino,James Caan,,,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Mario Puzo,Francis Ford Coppola,1 more credit,1972
13000000,9,982109,R,,Crime,Drama,,,57300000,"revenge,corrupt politician,bloody body of child,mafia",The Godfather: Part II," Paramount Pictures, The Coppola Company See more »      ","20 December 1974 (USA)
",3h22min,Al Pacino,Robert De Niro,Robert Duvall,,,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,Mario Puzo,1 more credit,1974
185000000,9,2029754,PG-13,1004558444,Action,Crime,Drama,,534858444,"dc comics,moral dilemma,psychopath,clown",The Dark Knight," Warner Bros., Legendary Entertainment, Syncopy See more »      ","18 July 2008 (USA)
",2h32min,Christian Bale,Heath Ledger,Aaron Eckhart,,,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Jonathan Nolan,Christopher Nolan,3 more credits,2008
350000,8.9,582223,NotRated,,Drama,,,,4360000,"jury,dialogue driven,courtroom,single set production",12 Angry Men, Orion-Nova Productions See more »      ,"10 April 1957 (USA)
",1h36min,Henry Fonda,Lee J. Cobb,Martin Balsam,,,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Reginald Rose,Reginald Rose,,1957
22000000,8.9,1068976,R,221000000,Biography,Drama,History,,96067179,"accountant,champagne,villa,womanizer",Schindler's List," Universal Pictures, Amblin Entertainment See more »      ","4 February 1994 (USA)
",3h15min,Liam Neeson,Ralph Fiennes,Ben Kingsley,,,"In German-occupied Poland during World War II, industrialist <a href=""/name/nm0771861/?ref_="">Oskar Schindler</a> gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Thomas Keneally,Steven Zaillian,,1993
94000000,8.9,1469267,PG-13,1119929521,Adventure,Drama,Fantasy,,377845905,"orc,battle,journey,hobbit",The Lord of the Rings: The Return of the King," New Line Cinema, WingNut Films, The Saul Zaentz Company See more »      ","17 December 2003 (USA)
",3h21min,Elijah Wood,Viggo Mortensen,Ian McKellen,,,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,J.R.R. Tolkien,Fran Walsh,2 more credits,2003
8000000,8.9,1612987,R,213928762,Crime,Drama,,,107928762,"nonlinear timeline,black comedy,overdose,bondage",Pulp Fiction," Miramax, A Band Apart, Jersey Films See more »      ","14 October 1994 (USA)
",2h34min,John Travolta,Uma Thurman,Samuel L. Jackson,,,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,Roger Avary,1 more credit,1994
1200000,8.9,612415,R,,Western,,,,6100000,"spaghetti western,new mexico territory,sonora mexico,arizona desert","The Good, the Bad and the Ugly"," Produzioni Europee Associate (PEA), Arturo González Producciones Cinematográficas, Constantin Film See more »      ","29 December 1967 (USA)
",2h58min,Clint Eastwood,Eli Wallach,Lee Van Cleef,,,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Luciano Vincenzoni,Sergio Leone,4 more credits,1966
63000000,8.8,1651294,R,71000000,Drama,,,,37030102,"surprise ending,fighting,multiple personality disorder,insomnia",Fight Club," Fox 2000 Pictures, Regency Enterprises, Linson Films See more »      ","15 October 1999 (USA)
",2h19min,Brad Pitt,Edward Norton,Meat Loaf,,,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Chuck Palahniuk,Jim Uhls,,1999
93000000,8.8,1485828,PG-13,871530324,Adventure,Drama,Fantasy,,315544750,"ring,quest,hobbit,elf",The Lord of the Rings: The Fellowship of the Ring," New Line Cinema, WingNut Films, The Saul Zaentz Company See more »      ","19 December 2001 (USA)
",2h58min,Elijah Wood,Ian McKellen,Orlando Bloom,,,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,J.R.R. Tolkien,Fran Walsh,2 more credits,2001
55000000,8.8,1580736,PG-13,677945399,Drama,Romance,,,330252182,"vietnam war,amputee,war hero,vietnam",Forrest Gump, Paramount Pictures See more »      ,"6 July 1994 (USA)
",2h22min,Tom Hanks,Robin Wright,Gary Sinise,,,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",Winston Groom,Eric Roth,,1994
18000000,8.8,1035649,PG,247916602,Action,Adventure,Fantasy,,290475067,"famous twist,duel,rescue,sword fight",Star Wars: Episode V - The Empire Strikes Back, Lucasfilm See more »      ,"20 June 1980 (USA)
",2h4min,Mark Hamill,Harrison Ford,Carrie Fisher,,,"After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.",Leigh Brackett,Lawrence Kasdan,1 more credit,1980
160000000,8.8,1808810,PG-13,825532764,Action,Adventure,Sci-Fi,,292576195,"dream,subconscious,ambiguous ending,thief",Inception," Warner Bros., Legendary Entertainment, Syncopy See more »      ","16 July 2010 (USA)
",2h28min,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,,,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,Christopher Nolan,,,2010
94000000,8.7,1328683,PG-13,926047111,Adventure,Drama,Fantasy,,342551365,"middle earth,epic,wizard,evil wizard",The Lord of the Rings: The Two Towers," New Line Cinema, WingNut Films, The Saul Zaentz Company See more »      ","18 December 2002 (USA)
",2h59min,Elijah Wood,Ian McKellen,Viggo Mortensen,,,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",J.R.R. Tolkien,Fran Walsh,3 more credits,2002
